path,kind,family,scope,note,reference,created_utc,run_commit,retained_file_count,recorded_gate_or_failure
artifacts/runs/eicu-demo-model-smoke-v1,runs,External pipeline smoke,pipeline_smoke,Execution/development check only; gate values are not scientific evidence,docs/EICU_DEMO_SMOKE_RESULT.md,2026-08-24T13:23:43.688716+00:00,be485afcc257ea2f0f04b201a9ee9b0cde9966c0,6,not_recorded
artifacts/runs/heart-controls-development-v1,runs,Post-outcome classical controls,post_outcome_development,Interrupted for mask-seed alignment; preserved before corrected v2,docs/HEART_RESEARCH_DEVELOPMENT_RESULT.md,2026-08-24T12:52:15.024850+00:00,be485afcc257ea2f0f04b201a9ee9b0cde9966c0,178,"failure_mask_seed_alignment.json: {""status"": ""interrupted_before_aggregation""}"
artifacts/runs/heart-controls-development-v2-aligned,runs,Post-outcome classical controls,post_outcome_development,Consumed UCI outcomes; exact-mask controls,docs/HEART_RESEARCH_DEVELOPMENT_RESULT.md,2026-08-24T12:55:14.729005+00:00,be485afcc257ea2f0f04b201a9ee9b0cde9966c0,1932,not_recorded
artifacts/runs/heart-controls-smoke-v1,runs,Post-outcome classical controls,pipeline_smoke,Execution/development check only; gate values are not scientific evidence,docs/HEART_RESEARCH_DEVELOPMENT_RESULT.md,2026-08-24T12:51:28.100128+00:00,be485afcc257ea2f0f04b201a9ee9b0cde9966c0,43,not_recorded
artifacts/runs/historical-psmask-ten-seed-sensitivity-v1,runs,Exact ten-seed sensitivity,post_outcome_sensitivity,Historical three-seed fits extended; no new confirmation,docs/HEART_RESEARCH_DEVELOPMENT_RESULT.md,2026-08-24T18:23:15.344353+00:00,be485afcc257ea2f0f04b201a9ee9b0cde9966c0,371,not_recorded
artifacts/runs/mirrams-inner-confirm-v1,runs,MIRRAMS external comparator,source_only_selection,External method control; attribution retained,docs/METHOD_SPECIFICATION.md,2026-08-24T00:03:18.761967+00:00,26cd45ce8f94107cd42dd446a26f01aefcecae16,44,not_recorded
artifacts/runs/mirrams-inner-v1,runs,MIRRAMS external comparator,source_only_selection,External method control; attribution retained,docs/METHOD_SPECIFICATION.md,2026-08-23T22:33:22.539164+00:00,551d4706b02538e9a096b4a4b5b544f0484091a5,79,not_recorded
artifacts/runs/mirrams-outer-v3,runs,MIRRAMS external comparator,locked_heart_with_disclosed_recoveries,Failed execution preserved; not a completed comparison,docs/OUTER_V3_FAILURE_AND_V4_RECOVERY.md,2026-08-24T06:44:42.981793+00:00,e787c199b59ef77b839f22c8415375b83f573074,3,"failure.json: {""status"": ""failed_preserved""}"
artifacts/runs/mirrams-outer-v4,runs,MIRRAMS external comparator,locked_heart_with_disclosed_recoveries,Failed execution preserved; not a completed comparison,docs/OUTER_V4_FAILURE_AND_V5_RECOVERY.md,2026-08-24T09:12:12.539558+00:00,b855cd50403dcad4874dcb51e38b8e9e5d9e067e,45,"failure.json: {""status"": ""failed_preserved""}"
artifacts/runs/mirrams-outer-v5-finalized,runs,MIRRAMS external comparator,locked_heart_with_disclosed_recoveries,Retained locked heart evidence; see recovery chronology,docs/HEART_OUTER_V5_RESULT.md,2026-08-24T09:21:39.585321+00:00,15d9fee74f73d5fc65156603ec6baf331d94e139,48,not_recorded
artifacts/runs/modern-2026-inner-v1,runs,Comparator baselines,source_only_selection,Retained source selection and implementation record,docs/REPRODUCIBILITY.md,2026-08-23T23:57:19.951406+00:00,522ed23bd815607aa5c7ae5746a1ae6251c4028f,5,not_recorded
artifacts/runs/modern-2026-outer-v3,runs,Comparator baselines,locked_heart_with_disclosed_recoveries,Retained locked heart evidence; see recovery chronology,docs/HEART_OUTER_V5_RESULT.md,2026-08-24T06:15:05.780278+00:00,e787c199b59ef77b839f22c8415375b83f573074,10,not_recorded
artifacts/runs/modern-inner-confirm-v1,runs,Comparator baselines,source_only_selection,Retained source selection and implementation record,docs/REPRODUCIBILITY.md,2026-08-23T23:49:47.640702+00:00,8bf5462ba1d95876a98a4f466836f271f5b5f4d3,6,not_recorded
artifacts/runs/modern-inner-v1,runs,Comparator baselines,source_only_selection,Retained source selection and implementation record,docs/REPRODUCIBILITY.md,2026-08-23T20:44:50.347977+00:00,551d4706b02538e9a096b4a4b5b544f0484091a5,5,not_recorded
artifacts/runs/modern-v2-outer-v3,runs,Comparator baselines,locked_heart_with_disclosed_recoveries,Retained locked heart evidence; see recovery chronology,docs/HEART_OUTER_V5_RESULT.md,2026-08-24T05:57:10.162025+00:00,e787c199b59ef77b839f22c8415375b83f573074,10,not_recorded
artifacts/runs/observed-backbones-development-v1,runs,Post-outcome backbones,post_outcome_development,Equal-budget attention and DeepSets; averaging and selection,docs/HEART_RESEARCH_DEVELOPMENT_RESULT.md,2026-08-24T13:31:10.077220+00:00,be485afcc257ea2f0f04b201a9ee9b0cde9966c0,489,not_recorded
artifacts/runs/observed-backbones-outer-development-v1,runs,Post-outcome backbones,post_outcome_development,Equal-budget attention and DeepSets; averaging and selection,docs/HEART_RESEARCH_DEVELOPMENT_RESULT.md,2026-08-24T17:22:15.945083+00:00,be485afcc257ea2f0f04b201a9ee9b0cde9966c0,155,not_recorded
artifacts/runs/observed-backbones-outer-smoke-v1,runs,Post-outcome backbones,pipeline_smoke,Execution/development check only; gate values are not scientific evidence,docs/HEART_RESEARCH_DEVELOPMENT_RESULT.md,2026-08-24T14:31:10.092328+00:00,be485afcc257ea2f0f04b201a9ee9b0cde9966c0,83,not_recorded
artifacts/runs/observed-backbones-smoke-v1,runs,Post-outcome backbones,pipeline_smoke,Execution/development check only; gate values are not scientific evidence,docs/HEART_RESEARCH_DEVELOPMENT_RESULT.md,2026-08-24T13:26:08.080372+00:00,be485afcc257ea2f0f04b201a9ee9b0cde9966c0,31,not_recorded
artifacts/runs/psmask-factorial-inner-v1,runs,PS-MaskDRO and ANE,source_only_selection,Factorial ablation or source confirmation record,docs/METHOD_SPECIFICATION.md,2026-08-23T23:03:23.401177+00:00,7443d23e01c31471e73bd16bc4ab4443addc4c49,151,not_recorded
artifacts/runs/psmask-inner-confirm-v1,runs,PS-MaskDRO and ANE,source_only_selection,Joint-axis gate failed; separate mask-axis pivot recorded,docs/METHOD_SPECIFICATION.md,2026-08-24T00:16:26.537633+00:00,22daad0e9858cbd367a3f3e7f7f7957d63104be4,370,"acceptance_gate_v1.json: {""passed"": false}"
artifacts/runs/psmask-inner-v1,runs,PS-MaskDRO and ANE,source_only_selection,Factorial ablation or source confirmation record,docs/METHOD_SPECIFICATION.md,2026-08-23T21:04:59.824811+00:00,551d4706b02538e9a096b4a4b5b544f0484091a5,7,not_recorded
artifacts/runs/psmask-outer-v5,runs,PS-MaskDRO and ANE,locked_heart_with_disclosed_recoveries,Retained locked heart evidence; see recovery chronology,docs/HEART_OUTER_V5_RESULT.md,2026-08-24T09:22:09.926983+00:00,15d9fee74f73d5fc65156603ec6baf331d94e139,371,not_recorded
artifacts/runs/psmask-smoke-v1,runs,PS-MaskDRO and ANE,pipeline_smoke,Execution/development check only; gate values are not scientific evidence,docs/METHOD_SPECIFICATION.md,2026-08-23T21:04:17.423613+00:00,551d4706b02538e9a096b4a4b5b544f0484091a5,7,not_recorded
artifacts/runs/readmission-inner-v1,runs,Independent readmission task,source_only_selection,Patient-disjoint task; admission source is a domain proxy,docs/READMISSION_OUTER_V3_RESULT.md,2026-08-24T04:00:27.188022+00:00,e16cdd6c54107795fa0f8af9cc3963117cb607ba,51,not_recorded
artifacts/runs/readmission-outer-v3,runs,Independent readmission task,independent_task_exploratory,Patient-disjoint task; admission source is a domain proxy,docs/READMISSION_OUTER_V3_RESULT.md,2026-08-24T06:46:12.902230+00:00,e787c199b59ef77b839f22c8415375b83f573074,43,not_recorded
artifacts/runs/shiftguard-synthetic-development-v1,runs,ShiftGuard revisions,synthetic_development,Closed negative result; retain revisions and failed gates,docs/SHIFTGUARD_DEVELOPMENT_RESULT.md,2026-08-24T12:46:46.835522+00:00,be485afcc257ea2f0f04b201a9ee9b0cde9966c0,9,"synthetic_gates.json: {""status"": ""failed_one_or_more_synthetic_gates""}"
artifacts/runs/shiftguard-synthetic-development-v2-omnibus,runs,ShiftGuard revisions,synthetic_development,Closed negative result; retain revisions and failed gates,docs/SHIFTGUARD_DEVELOPMENT_RESULT.md,2026-08-24T13:04:39.659169+00:00,be485afcc257ea2f0f04b201a9ee9b0cde9966c0,9,"synthetic_gates.json: {""status"": ""failed_one_or_more_synthetic_gates""}"
artifacts/runs/shiftguard-synthetic-development-v3-max-moment,runs,ShiftGuard revisions,synthetic_development,Closed negative result; retain revisions and failed gates,docs/SHIFTGUARD_DEVELOPMENT_RESULT.md,2026-08-24T13:13:54.866282+00:00,be485afcc257ea2f0f04b201a9ee9b0cde9966c0,9,"synthetic_gates.json: {""status"": ""failed_one_or_more_synthetic_gates""}"
artifacts/runs/shiftguard-synthetic-development-v4-spectral-pilot,runs,ShiftGuard revisions,synthetic_pilot,Pilot only; not comparable to full-revision estimates,docs/SHIFTGUARD_DEVELOPMENT_RESULT.md,2026-08-24T13:31:28.026580+00:00,be485afcc257ea2f0f04b201a9ee9b0cde9966c0,9,"synthetic_gates.json: {""status"": ""failed_one_or_more_synthetic_gates""}"
artifacts/runs/shiftguard-synthetic-development-v4-spectral-ridge,runs,ShiftGuard revisions,synthetic_development,Closed negative result; retain revisions and failed gates,docs/SHIFTGUARD_DEVELOPMENT_RESULT.md,2026-08-24T13:32:28.378113+00:00,be485afcc257ea2f0f04b201a9ee9b0cde9966c0,9,"synthetic_gates.json: {""status"": ""failed_one_or_more_synthetic_gates""}"
artifacts/runs/shiftguard-synthetic-development-v5-joint-null-pilot,runs,ShiftGuard revisions,synthetic_pilot,Pilot only; not comparable to full-revision estimates,docs/SHIFTGUARD_DEVELOPMENT_RESULT.md,2026-08-24T13:41:26.083004+00:00,be485afcc257ea2f0f04b201a9ee9b0cde9966c0,9,"synthetic_gates.json: {""status"": ""failed_one_or_more_synthetic_gates""}"
artifacts/runs/shiftguard-synthetic-development-v6-quantile-copula-pilot,runs,ShiftGuard revisions,synthetic_pilot,Pilot only; not comparable to full-revision estimates,docs/SHIFTGUARD_DEVELOPMENT_RESULT.md,2026-08-24T13:48:17.533929+00:00,be485afcc257ea2f0f04b201a9ee9b0cde9966c0,9,"synthetic_gates.json: {""status"": ""failed_one_or_more_synthetic_gates""}"
artifacts/runs/shiftguard-synthetic-development-v7-power-guard,runs,ShiftGuard revisions,synthetic_development,Closed negative result; retain revisions and failed gates,docs/SHIFTGUARD_DEVELOPMENT_RESULT.md,2026-08-24T13:54:30.886456+00:00,be485afcc257ea2f0f04b201a9ee9b0cde9966c0,11,"synthetic_gates.json: {""status"": ""failed_one_or_more_synthetic_gates""}"
artifacts/runs/shiftguard-synthetic-development-v7-power-guard-pilot,runs,ShiftGuard revisions,synthetic_pilot,Pilot only; not comparable to full-revision estimates,docs/SHIFTGUARD_DEVELOPMENT_RESULT.md,2026-08-24T13:52:08.038651+00:00,be485afcc257ea2f0f04b201a9ee9b0cde9966c0,10,"synthetic_gates.json: {""status"": ""failed_one_or_more_synthetic_gates""}"
artifacts/runs/shiftguard-synthetic-smoke-v1,runs,ShiftGuard revisions,pipeline_smoke,Execution/development check only; gate values are not scientific evidence,docs/SHIFTGUARD_DEVELOPMENT_RESULT.md,2026-08-24T12:46:21.094956+00:00,be485afcc257ea2f0f04b201a9ee9b0cde9966c0,9,"synthetic_gates.json: {""status"": ""failed_one_or_more_synthetic_gates""}"
artifacts/runs/shiftguard-synthetic-v2-smoke,runs,ShiftGuard revisions,pipeline_smoke,Execution/development check only; gate values are not scientific evidence,docs/SHIFTGUARD_DEVELOPMENT_RESULT.md,2026-08-24T13:04:20.588481+00:00,be485afcc257ea2f0f04b201a9ee9b0cde9966c0,9,"synthetic_gates.json: {""status"": ""failed_one_or_more_synthetic_gates""}"
artifacts/runs/support-router-nested-anchor-smoke-v2,runs,Support-aware routing,pipeline_smoke,Execution/development check only; gate values are not scientific evidence,docs/HEART_RESEARCH_DEVELOPMENT_RESULT.md,2026-08-24T14:09:31.848249+00:00,be485afcc257ea2f0f04b201a9ee9b0cde9966c0,3,"failure.json: {""status"": ""failed_closed_before_router_training""}"
artifacts/runs/support-router-nested-anchor-smoke-v3,runs,Support-aware routing,pipeline_smoke,Execution/development check only; gate values are not scientific evidence,docs/HEART_RESEARCH_DEVELOPMENT_RESULT.md,2026-08-24T14:09:54.528095+00:00,be485afcc257ea2f0f04b201a9ee9b0cde9966c0,11,"router_gates.json: {""status"": ""failed_one_or_more_source_router_gates""}"
artifacts/runs/support-router-outer-development-v1,runs,Support-aware routing,post_outcome_development,Full router did not improve on strongest fixed blend,docs/HEART_RESEARCH_DEVELOPMENT_RESULT.md,2026-08-24T17:28:43.776376+00:00,be485afcc257ea2f0f04b201a9ee9b0cde9966c0,26,"router_gates.json: {""status"": ""failed_one_or_more_development_gates""}"
artifacts/runs/support-router-outer-smoke-v1,runs,Support-aware routing,pipeline_smoke,Execution/development check only; gate values are not scientific evidence,docs/HEART_RESEARCH_DEVELOPMENT_RESULT.md,2026-08-24T14:31:35.781207+00:00,be485afcc257ea2f0f04b201a9ee9b0cde9966c0,25,"router_gates.json: {""status"": ""passed_all_development_gates""}"
artifacts/runs/support-router-outer-smoke-v2-strongest-fixed,runs,Support-aware routing,pipeline_smoke,Execution/development check only; gate values are not scientific evidence,docs/HEART_RESEARCH_DEVELOPMENT_RESULT.md,2026-08-24T14:35:04.524682+00:00,be485afcc257ea2f0f04b201a9ee9b0cde9966c0,26,"router_gates.json: {""status"": ""failed_one_or_more_development_gates""}"
artifacts/runs/support-router-smoke-v1,runs,Support-aware routing,pipeline_smoke,Execution/development check only; gate values are not scientific evidence,docs/HEART_RESEARCH_DEVELOPMENT_RESULT.md,2026-08-24T12:58:51.668994+00:00,be485afcc257ea2f0f04b201a9ee9b0cde9966c0,9,"router_gates.json: {""status"": ""passed_all_source_router_gates""}"
artifacts/runs/synthetic-mechanism-v2,runs,Registered synthetic mechanisms,registered_synthetic_mechanism,Failed mechanism gate; preserved before v3,docs/SYNTHETIC_V2_FAILURE.md,2026-08-24T01:54:32.204993+00:00,c46ab83e89746ebdfdbb68fa748da0c626ba320f,9,"acceptance_gate.json: {""passed"": false}"
artifacts/runs/synthetic-mechanism-v3,runs,Registered synthetic mechanisms,registered_synthetic_mechanism,Mechanism-specific evidence; no general shift guarantee,docs/SYNTHETIC_V3_RESULT.md,2026-08-24T03:29:49.707024+00:00,4ce3223a4a055e460869c1f61b04acca9d543c48,11,"acceptance_gate.json: {""passed"": true}"
artifacts/runs/synthetic-mechanism-v3-code-dryrun-1,runs,Registered synthetic mechanisms,pipeline_smoke,Execution/development check only; gate values are not scientific evidence,docs/SYNTHETIC_V3_RESULT.md,2026-08-24T03:18:44.692397+00:00,21c798b75ddef2df667ec2d5d0e5e87f7414dfff,11,"acceptance_gate.json: {""passed"": true}"
artifacts/runs/synthetic-v3-diagnostic-devcheck-1,runs,Registered synthetic mechanisms,pipeline_smoke,Execution/development check only; gate values are not scientific evidence,docs/SYNTHETIC_V3_RESULT.md,not_recorded,not_recorded,1,not_recorded
artifacts/runs/tabpfn-v3-inner-confirm-v1,runs,Comparator baselines,source_only_selection,Retained source selection and implementation record,docs/REPRODUCIBILITY.md,2026-08-23T23:55:44.193037+00:00,c0ddc02900037d05b8f788320f9358f583c335fc,6,not_recorded
artifacts/runs/tabpfn-v3-inner-v1,runs,Comparator baselines,source_only_selection,Retained source selection and implementation record,docs/REPRODUCIBILITY.md,2026-08-23T23:54:15.181867+00:00,420daae74a7ffa159df87b22ca2186cdf8929023,5,not_recorded
artifacts/runs/tabpfn-v3-outer-v3,runs,Comparator baselines,locked_heart_with_disclosed_recoveries,Retained locked heart evidence; see recovery chronology,docs/HEART_OUTER_V5_RESULT.md,2026-08-24T06:31:47.797573+00:00,e787c199b59ef77b839f22c8415375b83f573074,10,not_recorded
